year,Name,Artists,Album_x,uris,acousticness,liveness,loudness,danceability,energy,speechiness,instrumentalness,tempo,valence,Path,Emotion
2010,firework,Katy Perry,Teenage Dream,1mXuMM6zjPgjL4asbBsgnt,0.141,0.113,-5.039,0.638,0.832,0.049,0.0,124.071,0.648,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Katy Perry - Firework.mp3,Happy
2016,scars to your beautiful,Alessia Cara,Know-It-All (Deluxe),42ydLwx4i5V49RXHOozJZq,0.0285,0.111,-5.74,0.319,0.739,0.272,0.0,194.169,0.449,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Alessia Cara - Scars To Your Beautiful.mp3,Happy
2017,idgaf,Dua Lipa,Dua Lipa (Deluxe),76cy1WJvNGJTj78UqeA5zr,0.0403,0.0824,-5.975,0.836,0.544,0.0943,0.0,97.028,0.51,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Dua Lipa - IDGAF.mp3,Happy
2017,scared to be lonely,"Martin Garrix,Dua Lipa",Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,0.0895,0.261,-7.786,0.584,0.54,0.0576,0.0,137.972,0.195,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Martin Garrix, Dua Lipa - Scared to Be Lonely.mp3",Happy
2020,dancing with a stranger (with normani),"Sam Smith,Normani",Love Goes,3xgT3xIlFGqZjYW9QlhJWp,0.447,0.222,-7.513,0.741,0.52,0.0656,1.97e-06,102.998,0.347,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Sam Smith - Dancing With A Stranger (with Normani).mp3,Happy
2021,butter,BTS,"Butter (Hotter, Sweeter, Cooler)",2bgTY4UwhfBYhGT4HUYStN,0.00323,0.0906,-5.187,0.759,0.459,0.0948,0.0,109.997,0.695,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\BTS - Butter.mp3,Happy
2021,the nights,Avicii,Live A Life You Will Remember,19GqnCuVdOlSPHp6rHdYR2,0.0202,0.217,-5.294,0.528,0.823,0.0407,0.0,125.992,0.686,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Avicii - The Nights.mp3,Happy
2021,the nights,Avicii,Live A Life You Will Remember,19GqnCuVdOlSPHp6rHdYR2,0.0202,0.217,-5.294,0.528,0.823,0.0407,0.0,125.992,0.686,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Avicii - The Nights.mp3,Calm
2021,the nights,Avicii,The Days / Nights,0ct6r3EGTcMLPtrXHDvVjc,0.0166,0.249,-5.298,0.527,0.835,0.0433,0.0,125.983,0.654,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Avicii - The Nights.mp3,Happy
2021,the nights,Avicii,The Days / Nights,0ct6r3EGTcMLPtrXHDvVjc,0.0166,0.249,-5.298,0.527,0.835,0.0433,0.0,125.983,0.654,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Avicii - The Nights.mp3,Calm
2014,the nights,Avicii,Live A Life You Will Remember,19GqnCuVdOlSPHp6rHdYR2,0.0202,0.217,-5.294,0.528,0.823,0.0407,0.0,125.992,0.686,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Avicii - The Nights.mp3,Happy
2014,the nights,Avicii,Live A Life You Will Remember,19GqnCuVdOlSPHp6rHdYR2,0.0202,0.217,-5.294,0.528,0.823,0.0407,0.0,125.992,0.686,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Avicii - The Nights.mp3,Calm
